timestamp,camera,t0_capture,t1_encode_start,t2_encode_end,t3_pyo3,t4_agg,t5_ui,total_latency_ms
2026-09-19 16:28:39.877,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815519.686,1789815519.687,1789815519.714,1789815519.869,1789815519.869,1789815519.878,191.77
2026-09-19 16:28:40.064,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815519.869,1789815519.869,1789815519.890,1789815520.053,1789815520.053,1789815520.064,195.15
2026-09-19 16:28:40.235,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815519.892,1789815520.053,1789815520.071,1789815520.222,1789815520.222,1789815520.235,343.44
2026-09-19 16:28:40.400,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815520.073,1789815520.222,1789815520.233,1789815520.390,1789815520.390,1789815520.401,327.62
2026-09-19 16:28:40.566,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815520.233,1789815520.390,1789815520.416,1789815520.558,1789815520.558,1789815520.566,332.80
2026-09-19 16:28:40.654,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815520.418,1789815520.558,1789815520.570,1789815520.651,1789815520.651,1789815520.654,236.31
2026-09-19 16:28:40.737,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815520.570,1789815520.651,1789815520.659,1789815520.734,1789815520.734,1789815520.737,167.62
2026-09-19 16:28:40.820,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815520.734,1789815520.734,1789815520.740,1789815520.817,1789815520.817,1789815520.821,87.00
2026-09-19 16:28:40.904,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815520.817,1789815520.817,1789815520.823,1789815520.901,1789815520.901,1789815520.905,87.49
2026-09-19 16:28:40.987,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815520.823,1789815520.901,1789815520.908,1789815520.984,1789815520.984,1789815520.987,164.08
2026-09-19 16:28:41.070,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815520.911,1789815520.984,1789815520.991,1789815521.067,1789815521.067,1789815521.070,159.26
2026-09-19 16:28:41.154,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815520.994,1789815521.067,1789815521.073,1789815521.150,1789815521.150,1789815521.155,160.98
2026-09-19 16:28:41.237,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815521.071,1789815521.151,1789815521.160,1789815521.234,1789815521.234,1789815521.237,166.19
2026-09-19 16:28:41.322,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815521.158,1789815521.234,1789815521.242,1789815521.318,1789815521.318,1789815521.322,163.67
2026-09-19 16:28:41.407,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815521.240,1789815521.319,1789815521.327,1789815521.403,1789815521.404,1789815521.407,167.25
2026-09-19 16:28:41.490,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815521.326,1789815521.404,1789815521.411,1789815521.487,1789815521.487,1789815521.490,164.83
2026-09-19 16:28:41.576,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815521.411,1789815521.487,1789815521.495,1789815521.572,1789815521.572,1789815521.576,165.71
2026-09-19 16:28:41.658,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815521.491,1789815521.572,1789815521.580,1789815521.654,1789815521.654,1789815521.658,167.17
2026-09-19 16:28:41.745,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815521.582,1789815521.654,1789815521.662,1789815521.741,1789815521.741,1789815521.745,163.44
2026-09-19 16:28:41.827,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815521.659,1789815521.741,1789815521.750,1789815521.824,1789815521.824,1789815521.828,168.93
2026-09-19 16:28:41.909,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815521.747,1789815521.824,1789815521.833,1789815521.906,1789815521.906,1789815521.909,162.43
2026-09-19 16:28:41.992,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815521.833,1789815521.906,1789815521.913,1789815521.989,1789815521.989,1789815521.992,158.93
2026-09-19 16:28:42.075,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815521.910,1789815521.989,1789815521.997,1789815522.072,1789815522.072,1789815522.075,164.85
2026-09-19 16:28:42.166,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815521.996,1789815522.072,1789815522.079,1789815522.162,1789815522.162,1789815522.167,171.16
2026-09-19 16:28:42.259,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815522.076,1789815522.162,1789815522.174,1789815522.254,1789815522.254,1789815522.260,183.12
2026-09-19 16:28:42.342,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815522.172,1789815522.254,1789815522.260,1789815522.339,1789815522.339,1789815522.343,170.67
2026-09-19 16:28:42.428,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815522.260,1789815522.339,1789815522.347,1789815522.424,1789815522.424,1789815522.428,167.70
2026-09-19 16:28:42.511,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815522.346,1789815522.424,1789815522.432,1789815522.507,1789815522.507,1789815522.511,164.77
2026-09-19 16:28:42.595,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815522.429,1789815522.508,1789815522.516,1789815522.591,1789815522.591,1789815522.595,166.07
2026-09-19 16:28:42.676,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815522.513,1789815522.592,1789815522.600,1789815522.673,1789815522.673,1789815522.676,163.45
2026-09-19 16:28:42.762,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815522.599,1789815522.673,1789815522.681,1789815522.759,1789815522.759,1789815522.762,163.60
2026-09-19 16:28:42.844,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815522.679,1789815522.759,1789815522.766,1789815522.841,1789815522.841,1789815522.845,166.25
2026-09-19 16:28:42.931,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815522.841,1789815522.841,1789815522.848,1789815522.927,1789815522.927,1789815522.931,90.09
2026-09-19 16:28:43.013,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815522.846,1789815522.927,1789815522.936,1789815523.009,1789815523.009,1789815523.014,168.03
2026-09-19 16:28:43.097,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815522.932,1789815523.010,1789815523.018,1789815523.093,1789815523.093,1789815523.098,165.05
2026-09-19 16:28:43.179,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815523.017,1789815523.094,1789815523.102,1789815523.175,1789815523.175,1789815523.179,162.15
2026-09-19 16:28:43.265,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815523.098,1789815523.175,1789815523.184,1789815523.260,1789815523.260,1789815523.266,167.38
2026-09-19 16:28:43.354,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815523.183,1789815523.260,1789815523.267,1789815523.351,1789815523.351,1789815523.355,171.82
2026-09-19 16:28:43.438,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815523.266,1789815523.351,1789815523.359,1789815523.435,1789815523.435,1789815523.438,172.60
2026-09-19 16:28:43.520,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815523.356,1789815523.435,1789815523.443,1789815523.517,1789815523.517,1789815523.521,164.16
2026-09-19 16:28:43.605,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815523.443,1789815523.518,1789815523.525,1789815523.601,1789815523.601,1789815523.606,162.25
2026-09-19 16:28:43.687,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815523.524,1789815523.602,1789815523.609,1789815523.683,1789815523.683,1789815523.687,162.58
2026-09-19 16:28:43.771,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815523.607,1789815523.684,1789815523.691,1789815523.766,1789815523.766,1789815523.772,164.80
2026-09-19 16:28:43.854,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815523.690,1789815523.767,1789815523.776,1789815523.849,1789815523.849,1789815523.855,165.06
2026-09-19 16:28:43.939,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815523.773,1789815523.850,1789815523.859,1789815523.932,1789815523.932,1789815523.939,166.21
